species,p,lon,lat,Presence,bio_15,bio_19,bio_3,bio_4,CST,HII,LUCC,PC,s01,s02,s03,s04,s05,s06,s07,s08
Q.aquifolioides,0.306592941,96.11410653,29.75944634,1,92,19,44,5619,0,6,21,-0.001091242,-0.006082,0.006892,-0.008152,0.010026,0.018417001,0.002339,0.000104,0.013081
Q.aquifolioides,0.305132061,96.35567129,29.62017652,1,91,18,44,5648,9,6,22,0.001189952,-0.007052,0.006906,-0.00994,0.010753,0.020355999,0.001428,-0.000594,0.012601
Q.aquifolioides,0.251218766,97.2243708,29.15408018,1,88,21,44,5471,9,6,12,-0.000426655,-0.013094,0.004351,-0.021543,0.011158,0.025072999,-0.004985,-0.007694,-0.001282
Q.aquifolioides,0.239107102,97.46084789,28.69259038,1,87,34,44,5154,9,14,21,0.001059156,-0.006042,0.000396,-0.011056,0.002372,0.00778,-0.002943,-0.006284,-0.007863
Q.aquifolioides,0.282603115,97.53292501,28.78296888,1,86,28,44,5286,9,6,21,-0.000437448,-0.011827,-0.000592,-0.021950999,0.002618,0.012228,-0.005597,-0.014035,-0.018657001
Q.aquifolioides,0.263713837,97.84640057,29.66122187,1,91,13,45,5712,9,3,21,-0.000117523,-0.039754,0.003028,-0.055217002,0.027006,0.055424001,-0.0197,-0.012752,0.001136
Q.aquifolioides,0.228327349,98.09862435,31.05622456,1,99,8,45,6277,7,7,33,0.000169037,-0.040548,0.023642,0.008413,0.026084,0.011032,0.020925,0.00715,0.045662001
Q.aquifolioides,0.381450832,98.15548317,29.60892579,1,91,13,44,5742,9,10,21,3.92E-06,-0.041850999,-0.012067,-0.064681001,0.012803,0.034231,-0.028146001,-0.02211,-0.035484001
Q.aquifolioides,0.225027829,98.22660117,31.49982795,1,98,8,45,6411,9,5,21,-0.000121576,-0.034017999,0.025675001,0.033544,0.011229,-0.021687999,0.030098001,-0.001323,0.018230001
Q.aquifolioides,0.333180577,98.48199513,28.26595263,1,85,45,45,4987,9,7,21,-0.000962463,-0.021847,-0.008508,-0.039101999,-0.018793,-0.005918,0.003788,-0.043458,-0.042296
Q.aquifolioides,0.36368984,98.51155985,29.70145124,1,95,11,44,5806,9,10,31,-0.00014507,-0.044087,-0.027646,-0.062295001,0.005676,0.016117999,-0.036931999,-0.008737,-0.036566999
Q.aquifolioides,0.25784272,98.5478729,31.56083845,1,99,8,46,6267,9,9,21,-3.53E-06,-0.028139001,0.011523,0.041002002,-0.007296,-0.032540999,0.00126,0.000276,0.015664
Q.aquifolioides,0.488868862,98.58853652,29.70356473,1,95,9,45,5773,9,6,21,0.000403589,-0.044087,-0.027646,-0.062295001,0.005676,0.016117999,-0.036931999,-0.008737,-0.036566999
Q.aquifolioides,0.278310359,98.61168802,28.00728484,1,84,47,45,4933,9,11,21,0.000360095,-0.018000999,-0.003852,-0.027698001,-0.028008999,-0.009363,0.012865,-0.038589001,-0.022896999
Q.aquifolioides,0.429843575,98.6472018,29.69693431,1,95,9,45,5805,9,6,31,-9.64E-05,-0.044087,-0.027646,-0.062295001,0.005676,0.016117999,-0.036931999,-0.008737,-0.036566999
Q.aquifolioides,0.455786735,98.68942869,29.28929145,1,89,14,44,5659,9,10,21,-0.000339118,-0.041597001,-0.02719,-0.068651997,-0.002534,0.006778,-0.024738001,-0.031649001,-0.058908999
Q.aquifolioides,0.43710345,98.6955883,28.80134866,1,79,27,42,5400,9,11,22,5.82E-06,-0.033360999,-0.019362001,-0.059220001,-0.017981,-0.007856,-0.002904,-0.053477,-0.060649
Q.aquifolioides,0.572159708,98.72645509,29.73732022,1,97,7,46,5782,9,6,21,-0.000749357,-0.042383,-0.036660999,-0.059826002,0.000436,0.004013,-0.037159,-0.004161,-0.039650001
Q.aquifolioides,0.557585537,98.78570824,28.46016506,1,76,34,42,5226,11,11,21,0.000365912,-0.032327998,-0.019448999,-0.054283001,-0.027553,-0.018177999,0.007895,-0.059239,-0.049238998
Q.aquifolioides,0.452844799,98.81135702,30.16897293,1,99,7,45,5977,11,10,21,-0.000747415,-0.040886998,-0.033528998,-0.042181,0.002716,0.007826,-0.046177998,0.017026,-0.010695
Q.aquifolioides,0.55228436,98.81807112,28.37768845,1,77,34,42,5212,11,12,21,-0.000432264,-0.029037001,-0.014395,-0.046960998,-0.031798001,-0.017991999,0.012931,-0.058031999,-0.039414998
Q.aquifolioides,0.175805584,98.8217479,30.53687083,1,98,9,44,6126,9,11,31,0.000353433,-0.037237,-0.025804,-0.017340001,-0.000135,0.003427,-0.046673998,0.026923999,0.01622
Q.aquifolioides,0.349653661,98.8445455,29.5259588,1,96,12,44,5780,9,10,31,0,-0.042192999,-0.036348,-0.065002002,-0.002646,-6.00E-05,-0.030262001,-0.016930999,-0.051104002
Q.aquifolioides,0.595128298,98.8820987,28.60449846,1,77,31,42,5312,9,12,12,-0.00076938,-0.032327998,-0.019448999,-0.054283001,-0.027553,-0.018177999,0.007895,-0.059239,-0.049238998
Q.aquifolioides,0.655617535,98.90607169,28.33994441,1,75,35,41,5220,9,12,22,7.42E-05,-0.031307001,-0.017139001,-0.047024,-0.036518,-0.024295,0.018135,-0.061354,-0.029983001
Q.aquifolioides,0.547851324,98.91603799,28.46001587,1,77,34,42,5290,9,12,31,0.00043833,-0.033992,-0.023202,-0.053725,-0.031335998,-0.025797,0.013167,-0.06137,-0.039957002
Q.aquifolioides,0.644523382,98.91613147,28.31073305,1,75,35,41,5210,9,12,21,0.000181179,-0.031307001,-0.017139001,-0.047024,-0.036518,-0.024295,0.018135,-0.061354,-0.029983001
Q.aquifolioides,0.639884353,98.92312691,28.48756269,1,81,30,42,5314,9,12,22,-0.000322885,-0.033992,-0.023202,-0.053725,-0.031335998,-0.025797,0.013167,-0.06137,-0.039957002
Q.aquifolioides,0.540990174,98.93493218,28.17442348,1,80,35,43,5080,9,12,21,-0.000327616,-0.028333999,-0.011121,-0.039627999,-0.040860999,-0.021077,0.021507001,-0.057372,-0.019828999
Q.aquifolioides,0.646399558,98.93516243,28.27267491,1,77,35,41,5206,9,12,21,-0.000291,-0.031307001,-0.017139001,-0.047024,-0.036518,-0.024295,0.018135,-0.061354,-0.029983001
Q.aquifolioides,0.526262462,99.00080336,29.7067197,1,100,5,48,5721,9,10,32,-0.000796581,-0.039560001,-0.045522001,-0.055665001,-0.003628,-0.007316,-0.035076,0.001753,-0.039209001
Q.aquifolioides,0.513710618,99.08737604,30.04173372,1,104,3,48,5878,7,9,32,0.000377338,-0.036699999,-0.043290999,-0.037560001,-0.002957,-0.002309,-0.047274999,0.023407999,-0.013324
Q.aquifolioides,0.361218482,99.14680481,30.00786853,1,101,7,45,5967,9,9,32,-9.36E-05,-0.033812001,-0.053963002,-0.041942,-0.00584,-0.013238,-0.038722001,0.020889999,-0.025348
Q.aquifolioides,0.56277585,99.18843124,28.26933109,1,85,29,45,5106,9,20,31,-7.42E-05,-0.032680001,-0.019569,-0.044606,-0.039159998,-0.030076999,0.023111001,-0.062013,-0.01612
Q.aquifolioides,0.564455688,99.20158498,30.20289645,1,104,3,48,5944,9,5,21,-8.70E-05,-0.031445999,-0.052552,-0.031941999,-0.007119,-0.010519,-0.045519002,0.030128,-0.013446
Q.aquifolioides,0.528887093,99.20376266,28.68823204,1,84,26,43,5417,9,4,12,-6.00E-05,-0.036332,-0.033369001,-0.055606999,-0.026849,-0.033619002,0.012506,-0.055525001,-0.035360001
Q.aquifolioides,0.560804605,99.21445587,30.25980187,1,102,3,47,5958,9,5,22,-0.000780933,-0.028694,-0.049695,-0.020398,-0.009731,-0.009344,-0.050599001,0.035709001,-0.001106
Q.aquifolioides,0.632867336,99.23113055,28.4306232,1,83,27,44,5258,9,4,22,0.000420397,-0.032680001,-0.019569,-0.044606,-0.039159998,-0.030076999,0.023111001,-0.062013,-0.01612
Q.aquifolioides,0.556471765,99.26486201,28.42691103,1,88,26,46,5176,9,4,31,0.000328151,-0.032680001,-0.019569,-0.044606,-0.039159998,-0.030076999,0.023111001,-0.062013,-0.01612
Q.aquifolioides,0.542114258,99.26622279,28.71320299,1,88,21,45,5375,9,4,22,0.000311693,-0.036332,-0.033369001,-0.055606999,-0.026849,-0.033619002,0.012506,-0.055525001,-0.035360001
Q.aquifolioides,0.494685203,99.32807705,29.3201612,1,99,9,46,5745,9,5,23,3.07E-05,-0.034575999,-0.055433001,-0.052246001,-0.010077,-0.034231,-0.005145,-0.01304,-0.035282001
Q.aquifolioides,0.494685203,99.32816288,29.32037577,1,99,9,46,5745,9,5,23,3.07E-05,-0.034575999,-0.055433001,-0.052246001,-0.010077,-0.034231,-0.005145,-0.01304,-0.035282001
Q.aquifolioides,0.515097976,99.35199105,30.3123439,1,104,4,47,6010,9,5,22,-0.001285051,-0.02194,-0.058340002,-0.014563,-0.012978,-0.013763,-0.047446001,0.041358002,-0.000747
Q.aquifolioides,0.390416116,99.35516417,27.18071157,1,89,34,46,4669,9,14,23,-0.000150562,-0.018629,0.016576,-0.00443,-0.064917997,0.013766,0.02509,0.003229,0.01434
Q.aquifolioides,0.403390735,99.44457293,27.19282237,1,89,36,47,4646,9,18,12,-0.000245653,-0.018629,0.016576,-0.00443,-0.064917997,0.013766,0.02509,0.003229,0.01434
Q.aquifolioides,0.58076334,99.47726369,28.05923739,1,90,26,44,5153,9,18,22,-2.55E-06,-0.031327002,-0.013692,-0.033633001,-0.045802999,-0.029114,0.029575,-0.057932999,0.010066
Q.aquifolioides,0.588772058,99.5103761,28.04722603,1,90,25,45,5104,9,22,22,8.63E-06,-0.031580999,-0.014403,-0.027566001,-0.043928001,-0.031660002,0.031512,-0.055123001,0.027866
Q.aquifolioides,0.534873545,99.55941439,29.12836854,1,100,9,46,5744,9,5,32,-6.71E-05,-0.032311998,-0.054818999,-0.045267999,-0.010547,-0.043804001,0.011233,-0.020408001,-0.017788
Q.aquifolioides,0.577761471,99.56497192,27.84393339,1,93,25,45,5092,9,18,21,-0.000446192,-0.029864,-0.006129,-0.021555001,-0.050997,-0.023202,0.031466,-0.049159002,0.033877999
Q.aquifolioides,0.563937366,99.60448086,27.91100724,1,94,23,45,5118,9,18,21,0.000102502,-0.029864,-0.006129,-0.021555001,-0.050997,-0.023202,0.031466,-0.049159002,0.033877999
Q.aquifolioides,0.539896548,99.62436676,27.84666552,1,93,24,45,5063,9,18,23,-0.000157828,-0.029864,-0.006129,-0.021555001,-0.050997,-0.023202,0.031466,-0.049159002,0.033877999
Q.aquifolioides,0.542219281,99.62806284,27.80549146,1,93,24,45,5019,9,18,12,0.000201603,-0.027798001,0.001533,-0.015613,-0.057324,-0.013565,0.030478001,-0.03915,0.036603
Q.aquifolioides,0.560200214,99.65560913,28.90840825,1,101,12,45,5740,9,9,21,-0.000266675,-0.033385001,-0.047906999,-0.044604,-0.015639,-0.045736,0.018185999,-0.034368999,-0.010426
Q.aquifolioides,0.431653291,99.66142787,29.345725,1,106,8,45,5925,9,5,32,-0.000139709,-0.030601,-0.060555998,-0.043949999,-0.006929,-0.040141001,0.003116,-0.005069,-0.022288
Q.aquifolioides,0.431653291,99.66185702,29.34398693,1,106,8,45,5925,9,5,32,-0.000139709,-0.030601,-0.060555998,-0.043949999,-0.006929,-0.040141001,0.003116,-0.005069,-0.022288
Q.aquifolioides,0.600198686,99.72965956,28.22018732,1,94,19,46,5165,9,14,22,0.000101914,-0.031083999,-0.014651,-0.019938,-0.038963001,-0.032969002,0.031523999,-0.050932001,0.045187999
Q.aquifolioides,0.594267666,99.75060225,28.20969332,1,95,19,46,5261,9,18,22,-6.29E-05,-0.031083999,-0.014651,-0.019938,-0.038963001,-0.032969002,0.031523999,-0.050932001,0.045187999
Q.aquifolioides,0.586686552,99.7624101,28.9365933,1,106,11,45,5818,9,9,21,-0.000406183,-0.030303,-0.050576001,-0.035294998,-0.00943,-0.049132999,0.024284,-0.026597001,0.006476
Q.aquifolioides,0.487792373,99.76557138,27.80312086,1,96,21,46,5040,9,18,32,-0.000232111,-0.028206,0.002347,-0.009284,-0.05438,-0.013366,0.028503001,-0.036525,0.051199999
Q.aquifolioides,0.579484761,99.80090439,27.58219451,1,96,22,46,4924,9,18,22,-0.000218601,-0.026215,0.009635,-0.004416,-0.060897999,-0.002404,0.026319001,-0.023755999,0.048478
Q.aquifolioides,0.531259298,99.82103705,27.90320906,1,99,22,45,5169,9,14,21,-6.71E-05,-0.029859001,-0.005824,-0.014559,-0.046955999,-0.023762999,0.030343,-0.045839999,0.050011002
Q.aquifolioides,0.582834601,99.83071446,27.79332921,1,96,21,46,5015,9,18,21,-0.000223784,-0.028206,0.002347,-0.009284,-0.05438,-0.013366,0.028503001,-0.036525,0.051199999
Q.aquifolioides,0.573426187,99.83382583,27.55798565,1,97,21,46,4888,9,18,21,-0.000196736,-0.026215,0.009635,-0.004416,-0.060897999,-0.002404,0.026319001,-0.023755999,0.048478
Q.aquifolioides,0.584956884,99.83664597,28.73951639,1,105,11,46,5716,9,10,21,0.000781998,-0.031452999,-0.042151999,-0.033103,-0.015613,-0.048670001,0.028268,-0.038617998,0.016848
Q.aquifolioides,0.334978908,99.88022268,26.31972905,1,93,33,48,4346,7,14,23,-0.000438691,-0.012171,0.029584,0.00847,-0.070572004,0.043643001,0.016945001,0.062749997,-0.020059001
Q.aquifolioides,0.595491529,99.91609507,28.71605153,1,106,11,45,5755,11,9,21,-0.000651728,-0.02853,-0.043175001,-0.023079,-0.007033,-0.049621999,0.031477999,-0.030933,0.032853
Q.aquifolioides,0.458818883,99.93795809,29.15307941,1,110,7,46,5957,9,13,32,-2.11E-05,-0.024189999,-0.060029998,-0.025784999,0.003221,-0.048257001,0.025805,-0.003859,0.011571
Q.aquifolioides,0.383018911,99.9741886,26.85773178,1,98,22,48,4517,3,22,21,7.61E-06,-0.019678,0.026233001,0.009996,-0.070099004,0.029203,0.015325,0.024711,0.026583999
Q.aquifolioides,0.506009996,99.98254895,27.82254837,1,98,19,46,5060,9,14,21,-0.000249029,-0.027922001,0.003278,-0.001907,-0.048046,-0.012561,0.024072999,-0.033523999,0.063663997
Q.aquifolioides,0.277035892,99.98437978,31.67577334,1,93,14,44,6592,7,12,33,-0.001093855,0.022481,-0.029317001,0.046050001,-0.04843,-0.004761,-0.046601001,-0.024712,0.029084001
Q.aquifolioides,0.488970011,100.1284753,28.78560968,1,108,11,45,5753,9,8,31,-0.000462625,-0.025203999,-0.043104,-0.012611,0.003366,-0.048477001,0.033043001,-0.023220001,0.045417
Q.aquifolioides,0.391612351,100.1517105,27.09588521,1,99,22,47,4709,10,18,43,-0.000501092,-0.021865999,0.023317,0.013642,-0.059776001,0.021147,0.009291,0.008249,0.0458
Q.aquifolioides,0.588124692,100.1546288,28.40801061,1,105,11,46,5526,9,4,21,0.000197249,-0.027907999,-0.023413001,-0.005886,-0.011846,-0.039616998,0.028569,-0.039039999,0.065168999
Q.aquifolioides,0.519743145,100.194891,27.01657884,1,102,16,48,4517,10,18,12,-0.000262719,-0.019593,0.026954001,0.014473,-0.063790999,0.029742001,0.008335,0.023247,0.031599998
Q.aquifolioides,0.448343247,100.1986599,26.95818565,1,102,16,48,4512,9,18,31,-0.000125104,-0.019593,0.026954001,0.014473,-0.063790999,0.029742001,0.008335,0.023247,0.031599998
Q.aquifolioides,0.495860904,100.2157938,27.03291501,1,102,16,48,4529,9,18,23,-0.0001962,-0.019593,0.026954001,0.014473,-0.063790999,0.029742001,0.008335,0.023247,0.031599998
Q.aquifolioides,0.542728424,100.2274936,27.1324751,1,101,16,48,4599,9,18,21,-0.000528076,-0.021865999,0.023317,0.013642,-0.059776001,0.021147,0.009291,0.008249,0.0458
Q.aquifolioides,0.405171305,100.2368546,26.8013964,1,102,17,48,4459,10,14,22,0.000236586,-0.017196,0.029206,0.014466,-0.065926999,0.036435999,0.00817,0.037234999,0.016476
Q.aquifolioides,0.652703524,100.2552805,28.53960935,1,106,10,46,5568,9,8,22,-0.000191675,-0.026913,-0.033364002,-0.009589,-0.003676,-0.045325,0.031374998,-0.033050001,0.056209002
Q.aquifolioides,0.652703524,100.2567396,28.54149762,1,106,10,46,5568,9,8,22,-0.000191675,-0.026913,-0.033364002,-0.009589,-0.003676,-0.045325,0.031374998,-0.033050001,0.056209002
Q.aquifolioides,0.652703524,100.2570945,28.53854126,1,106,10,46,5568,9,8,22,-0.000191675,-0.026913,-0.033364002,-0.009589,-0.003676,-0.045325,0.031374998,-0.033050001,0.056209002
Q.aquifolioides,0.638344347,100.2656566,28.73678808,1,110,10,46,5784,9,12,22,-0.000167273,-0.025203999,-0.043104,-0.012611,0.003366,-0.048477001,0.033043001,-0.023220001,0.045417
Q.aquifolioides,0.51320684,100.2787443,28.12064163,1,99,13,48,5080,9,4,21,0.000286333,-0.028222,-0.013597,-0.001827,-0.020717001,-0.031676002,0.025007,-0.040644001,0.071313001
Q.aquifolioides,0.687596023,100.296507,28.5435543,1,105,9,47,5527,9,8,22,-0.000338788,-0.026913,-0.033364002,-0.009589,-0.003676,-0.045325,0.031374998,-0.033050001,0.056209002
Q.aquifolioides,0.609609544,100.3123418,28.8934644,1,112,7,46,5947,9,8,22,-0.000256,-0.018673999,-0.051212002,-0.004341,0.019907,-0.045676,0.035381999,-0.003246,0.041847002
Q.aquifolioides,0.503774822,100.3336716,29.01459561,1,111,7,45,5950,9,8,32,-1.00E-04,-0.018673999,-0.051212002,-0.004341,0.019907,-0.045676,0.035381999,-0.003246,0.041847002
Q.aquifolioides,0.623657227,100.3590326,28.57126796,1,108,9,46,5634,10,8,22,0.000273867,-0.023861,-0.032097001,0.000681,0.008302,-0.042470001,0.028763,-0.026247,0.063767999
Q.aquifolioides,0.630023897,100.3622084,28.56978738,1,109,9,46,5653,10,8,22,0.000227994,-0.023861,-0.032097001,0.000681,0.008302,-0.042470001,0.028763,-0.026247,0.063767999
Q.aquifolioides,0.585878372,100.4278681,28.80449622,1,112,7,46,5841,9,8,31,-0.000746554,-0.021641999,-0.041921001,-0.00222,0.014933,-0.045434002,0.032744002,-0.016026,0.053364001
Q.aquifolioides,0.345797837,100.4582602,26.91385726,1,86,32,48,4521,9,18,31,-0.000832792,-0.018975001,0.027058,0.018885,-0.054395001,0.02932,-0.000251,0.020028999,0.034134001
Q.aquifolioides,0.667967975,100.4752467,28.82269232,1,106,7,47,5645,9,8,21,5.51E-05,-0.021641999,-0.041921001,-0.00222,0.014933,-0.045434002,0.032744002,-0.016026,0.053364001
Q.aquifolioides,0.610984445,100.4828453,28.84557586,1,109,7,47,5735,9,4,21,0.000210035,-0.018673999,-0.051212002,-0.004341,0.019907,-0.045676,0.035381999,-0.003246,0.041847002
Q.aquifolioides,0.433227032,100.5550009,30.48421872,1,100,7,47,6074,7,7,21,6.69E-06,0.030780001,-0.072879001,0.018764,-0.002694,0.019277999,0.010415,0.039471999,0.003255
Q.aquifolioides,0.586023211,100.5661654,28.80578825,1,105,7,48,5541,9,8,23,0.000217169,-0.018015999,-0.039662,0.007589,0.026882,-0.040821999,0.030503999,-0.009793,0.05604
Q.aquifolioides,0.567106187,100.5854629,29.1340006,1,109,5,47,5892,9,4,22,9.66E-05,-0.010465,-0.057280999,0.003828,0.033404998,-0.037988,0.039085001,0.016338,0.033447001
Q.aquifolioides,0.261493653,100.6369498,25.82432712,1,92,35,49,4227,7,27,22,0.00070259,-0.004779,0.018347001,0.006793,-0.034091,0.027903,0.004415,0.043811001,-0.022955
Q.aquifolioides,0.296683699,100.6504512,29.64962624,1,106,8,46,5969,9,7,32,-0.000442197,0.005732,-0.074501999,0.005409,0.027718,-0.016785,0.037397999,0.049192,0.005874
Q.aquifolioides,0.574450612,100.8076564,28.54366263,1,103,9,48,5335,11,14,21,-0.000349991,-0.017449001,-0.026962999,0.019255999,0.033144001,-0.032855,0.017905001,-0.015262,0.062001999
Q.aquifolioides,0.547834158,100.8109179,28.5452505,1,105,9,47,5421,11,14,21,-6.16E-05,-0.017449001,-0.026962999,0.019255999,0.033144001,-0.032855,0.017905001,-0.015262,0.062001999
Q.aquifolioides,0.448011458,100.8426607,28.16879182,1,101,10,49,4950,9,14,22,0.000313621,-0.021065,-0.008124,0.025139,0.018321,-0.021512,0.000313,-0.027224001,0.071525998
Q.aquifolioides,0.402282476,100.8760357,27.29520058,1,102,13,49,4583,9,31,23,1.34E-05,-0.020104,0.020207999,0.030032,-0.01708,0.013479,-0.021222999,-0.010191,0.052464001
Q.aquifolioides,0.150454789,100.9279633,32.25708794,1,93,17,43,6844,9,13,23,-0.000120041,0.043506999,-0.004165,0.005604,-0.022903999,0.018709,-0.014794,-0.050652999,0.021493999
Q.aquifolioides,0.228073791,100.9511645,31.97648465,1,91,15,45,6702,9,18,32,-4.28E-05,0.056820001,-0.01578,0.011921,-0.029084999,0.03249,-0.014062,-0.058807001,0.024212999
Q.aquifolioides,0.580022514,100.9526034,28.50349353,1,103,9,49,5246,9,18,21,-8.41E-05,-0.014381,-0.023290999,0.026691001,0.044263002,-0.026882,0.010228,-0.011545,0.053135
Q.aquifolioides,0.571763158,100.9997923,30.03921259,1,94,9,45,5837,10,17,21,-0.000212232,0.029158,-0.067960002,0.01616,0.027327999,0.017735001,0.046282001,0.045906,-0.008988
Q.aquifolioides,0.536590815,101.0034943,30.03489165,1,93,9,45,5841,9,17,22,0.00019737,0.022112999,-0.067406997,0.015505,0.035075001,0.007692,0.049399,0.048788,-0.00562
Q.aquifolioides,0.46146515,101.0511249,31.00456179,1,94,12,45,6225,7,14,21,6.33E-05,0.05407,-0.053403001,0.019157,-0.00817,0.045651,0.018209999,-0.002544,0.000811
Q.aquifolioides,0.531396866,101.0825263,29.40519404,1,100,8,47,5598,9,17,32,-0.000431131,0.002754,-0.055569001,0.016742,0.049844999,-0.018981,0.044698998,0.033077002,0.017266
Q.aquifolioides,0.4802517,101.1012825,30.97334302,1,94,11,46,6156,7,14,31,-7.06E-05,0.05407,-0.053403001,0.019157,-0.00817,0.045651,0.018209999,-0.002544,0.000811
Q.aquifolioides,0.500340044,101.1107826,30.97260494,1,95,9,46,6206,7,14,32,0.000159336,0.058704,-0.046870001,0.014478,-0.002239,0.050684001,0.028313,-0.009224,-0.0061
Q.aquifolioides,0.360071003,101.1120004,31.89673087,1,91,15,45,6578,9,17,32,-0.00095288,0.062668003,-0.01044,0.003316,-0.023407999,0.034187,-0.007324,-0.06177,0.021337001
Q.aquifolioides,0.539775074,101.1375189,29.12915113,1,99,8,48,5402,11,20,32,-0.000279602,0.000384,-0.042907,0.02324,0.057068001,-0.017708,0.03514,0.022458,0.019392001
Q.aquifolioides,0.420253783,101.1704823,28.22803584,1,102,11,48,5035,9,14,42,-0.00026452,-0.015844001,-0.002513,0.037896,0.042406999,-0.012002,-0.021269999,-0.02221,0.044643998
Q.aquifolioides,0.570108771,101.1939755,29.11787496,1,102,11,47,5580,11,16,22,-0.001200053,0.000384,-0.042907,0.02324,0.057068001,-0.017708,0.03514,0.022458,0.019392001
Q.aquifolioides,0.607790589,101.2451917,29.04032495,1,100,9,48,5386,9,16,21,-3.14E-05,0.000384,-0.042907,0.02324,0.057068001,-0.017708,0.03514,0.022458,0.019392001
Q.aquifolioides,0.464822978,101.2491221,30.87985926,1,93,13,44,6145,9,10,21,-0.000372497,0.058704,-0.046870001,0.014478,-0.002239,0.050684001,0.028313,-0.009224,-0.0061
Q.aquifolioides,0.47574982,101.2514254,27.9164213,1,100,12,49,4808,9,18,21,0.000157914,-0.01691,0.004994,0.039618999,0.034924999,-0.005573,-0.030716,-0.02451,0.043326002
Q.aquifolioides,0.379797637,101.2555516,27.59641068,1,102,12,49,4711,9,14,31,-9.59E-05,-0.017078999,0.016945999,0.040019002,0.018107001,0.008372,-0.042624999,-0.020540999,0.034322001
Q.aquifolioides,0.319485039,101.2561887,27.15084798,1,103,15,49,4553,9,10,21,0.000277491,-0.014955,0.023174999,0.035594001,0.002352,0.019296,-0.043184999,-0.008703,0.020029999
Q.aquifolioides,0.477926046,101.2597471,27.9205919,1,100,12,49,4787,9,18,21,-1.89E-05,-0.01691,0.004994,0.039618999,0.034924999,-0.005573,-0.030716,-0.02451,0.043326002
Q.aquifolioides,0.559900701,101.2750745,30.040588,1,96,12,44,5856,9,9,21,-0.000751783,0.032653999,-0.060993001,0.016675999,0.031769998,0.023916001,0.052336,0.040192001,-0.014525
Q.aquifolioides,0.539854288,101.2847353,28.77966894,1,98,10,49,5078,9,20,21,-0.00021034,-0.008328,-0.027485,0.029228,0.056407999,-0.02207,0.013685,0.00074,0.034749001
Q.aquifolioides,0.477218986,101.2953707,27.94697703,1,101,12,49,4809,9,22,21,0.000369456,-0.01691,0.004994,0.039618999,0.034924999,-0.005573,-0.030716,-0.02451,0.043326002
